Param,Value
MaxStepCount,2
MoveSlashMinHorizontalInputDeg,45.0
MoveSlashMaxHorizontalInputDeg,160.0
MoveShotAimAdjustParam,"{'InterpolateSpeed': 20.0, 'FadeInSpeed': 10.0, 'FadeOutSpeed': 5.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 1.0, 'ShoulderRate': 1.0, 'Spine2Rate': 1.0, 'Spine1Rate': 0.66, 'Spine0Rate': 0.33, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': 0.0, 'ConstMoveDegY': 0.0, 'LimitY': 65.0, 'LimitUpX': 30.0, 'LimitDownX': 33.0}"
ShotOffset,"{'x': 0.0, 'y': 0.1, 'z': 1.65, 'pad': 0.0}"
GuardQuickReloadTime,0.5
NormalShellTypeInfo:ShellNum,6
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[0],"{'Attack': 6.0, 'FireAttack': 6.0}"
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[1],"{'Attack': 8.0, 'FireAttack': 7.0}"
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[2],"{'Attack': 10.0, 'FireAttack': 8.0}"
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[3],"{'Attack': 14.0, 'FireAttack': 9.0}"
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[4],"{'Attack': 17.0, 'FireAttack': 11.0}"
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[5],"{'Attack': 20.0, 'FireAttack': 13.0}"
NormalShellTypeInfo:ShotAttackInfo:AttackInfoList[6],"{'Attack': 23.0, 'FireAttack': 15.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[0],"{'Attack': 38.0, 'FireAttack': 21.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[1],"{'Attack': 43.0, 'FireAttack': 24.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[2],"{'Attack': 48.0, 'FireAttack': 27.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[3],"{'Attack': 54.0, 'FireAttack': 30.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[4],"{'Attack': 60.0, 'FireAttack': 33.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[5],"{'Attack': 67.0, 'FireAttack': 36.0}"
NormalShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[6],"{'Attack': 74.0, 'FireAttack': 39.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[0],"{'Attack': 22.0, 'FireAttack': 17.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[1],"{'Attack': 25.0, 'FireAttack': 21.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[2],"{'Attack': 28.0, 'FireAttack': 25.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[3],"{'Attack': 31.0, 'FireAttack': 30.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[4],"{'Attack': 36.0, 'FireAttack': 34.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[5],"{'Attack': 41.0, 'FireAttack': 38.0}"
NormalShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[6],"{'Attack': 46.0, 'FireAttack': 42.0}"
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[0],4.0
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[1],5.0
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[2],7.0
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[3],9.0
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[4],12.0
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[5],14.0
NormalShellTypeInfo:ShotAttackInfo:PileAttackList[6],16.0
NormalShellTypeInfo:RyuugekiGauge_GainRate,1.0
NormalShellTypeInfo:ChargeShot_AttackRate,1.8
NormalShellTypeInfo:ChargeShot_MinChargeTime,0.4
NormalShellTypeInfo:ChargeShot_MaxTime,3.4
NormalShellTypeInfo:ChargeShot_ChargeTime,0.4
NormalShellTypeInfo:ChargeShot_Offset,0.5
NormalShellTypeInfo:ChargeShot_MiddleMotCount,3
NormalShellTypeInfo:ChargeShot_HeavyMotCount,5
NormalShellTypeInfo:FullBurst_AttackRate,1.2
NormalShellTypeInfo:FullBurstInfo:OffsetAngle,"{'x': -11.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
