Param,Value
MusicSkillToneTable,GameDesign/Player/ActionData/Wp05/UserData/Wp05MusicSkillToneTable.user
MusicSkillToneColorTable,GameDesign/Player/ActionData/Wp05/UserData/Wp05MusicSkillToneColorTable.user
Press_Time,0.005
MusicSkillRangeRadius,50.0
MusicTurnSpeed,20.0
MusicImpactOffsetZ,2.0
WMusicImpactOffsetZ,1.0
MusicFloatOffsetZ,1.5
MusicStart_N_Mot_Time,0.0
MusicStart_U_Mot_Time,0.0
MusicStart_F_Mot_Time,0.0
MusicAttackToDodgeIgnoreResetTime,0.5
SpHealRadius,50.0
SpHealValue,50.0
ParryHitMotSpeedRate,1.5
MaxHibkikiAmmo,3
OutRangeActiveTime,5.0
ReloadHibkikiAmmoTime,30.0
ReserveReloadHibkikiAmmoTimeSpeedRate,1.0
HibkikiHueMasterLv1ActiveRange,7.0
HibkikiHueMasterLv2ActiveRange,8.0
HibkikiActiveTime,60.0
HibkikiHueMasterLv1ActiveTime,90.0
HibkikiHueMasterLv2ActiveTime,120.0
HibkikiBlastTimer,"[0.0, 0.18, 0.36]"
HibkikiBlastHueMasterLv1ActiveRange,1.0
HibkikiBlastHueMasterLvActiveRange,2.0
HibikiShellColorSetting,GameDesign/Player/ActionData/Wp05/GlobalParam/Wp05HibikiShellColorSetting.user
HibikiLagTime,0.05
HighFreq_Blow_ShellEpvTagHashName,{'Hash': 316035102}
HighFreq_Slash_ShellEpvTagHashName,{'Hash': 528574129}
HighFreq_Elem_Fire_ShellEpvTagHashName,{'Hash': 3688034738}
HighFreq_Elem_Water_ShellEpvTagHashName,{'Hash': 1569669610}
HighFreq_Elem_Elec_ShellEpvTagHashName,{'Hash': 2677293177}
HighFreq_Elem_Ice_ShellEpvTagHashName,{'Hash': 3678724420}
HighFreq_Elem_Dragon_ShellEpvTagHashName,{'Hash': 1201868693}
HighFreq_BadCond_Poison_ShellEpvTagHashName,{'Hash': 3752249197}
HighFreq_BadCond_Paralyse_ShellEpvTagHashName,{'Hash': 2998999016}
HighFreq_BadCond_Sleep_ShellEpvTagHashName,{'Hash': 2126844543}
HighFreq_BadCond_Blast_ShellEpvTagHashName,{'Hash': 1039626815}
MusicGameBPM,80
MusicGameBeatNotes,2
MusicGameLastNotesNum,5
MusicGameJudgeTimingRate,"{'x': 0.0, 'y': 2.0, 'pad1': 0.0, 'pad2': 0.0}"
MusicGameJustTimingRate,"{'x': 0.75, 'y': 1.35, 'pad1': 0.0, 'pad2': 0.0}"
MusicGameFullCombAttackRate,1.15
MusicGameHardFullCombAttackRate,1.3
MusicGameLagTime,0.005
