Param,Value
GunCommonParam,GameDesign/Player/ActionData/WpGunCommon/GlobalParam/WpGunCommonParam.user
SlidingParam,"{'MaxTransRate': 2.0, 'MinTransRate': 1.0, 'Time': 1.0, 'TurnSpeed': 10.0}"
SlidingTurnSpeed,60.0
AmmoLimit_Normal,7
AmmoLimit_Penetrate,3
AmmoLimit_ShotGun,5
MoveSpeedRate,1.0
AimMoveSpeedRate,1.0
CreepAimAdjustParam,"{'InterpolateSpeed': 5.0, 'FadeInSpeed': 1.0, 'FadeOutSpeed': 1.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 1.0, 'ShoulderRate': 0.8, 'Spine2Rate': 0.6, 'Spine1Rate': 0.4, 'Spine0Rate': 0.2, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': 0.0, 'ConstMoveDegY': 0.0, 'LimitY': 65.0, 'LimitUpX': 30.0, 'LimitDownX': 33.0}"
NormalBullet_CustomAttackRate,"[1.0, 1.1, 1.2]"
PenetrateBullet_CustomAttackRate,"[1.0, 1.1, 1.2]"
ShotgunBullet_CustomAttackRate,"[1.0, 1.1, 1.2]"
Energy_AutoRecoverSpeed,1.9
Energy_AutoRecoverReserveRate,0.2
Energy_ShotGunShootRecover,2.4
Energy_CustomEfficiency_Fast,1.1
Energy_CustomEfficiency_Slow,0.9
Energy_StealthShotRecover,30.0
EnergyParts_EmitColor,"{'R': 255, 'G': 0, 'B': 0, 'A': 255}"
GatlingBullet_BasicData,{'MinUseEnergy': 2.5}
GatlingBullet_ShootInterval,0.18
GatlingHitAttackRate,"[1.0, 1.0, 1.2, 1.2, 1.44, 1.44, 1.728, 1.728, 2.0736, 2.0736]"
Gatling_CustomAttackRate,"[1.0, 1.1, 1.2]"
EnergyLaserBullet_BasicData,{'MinUseEnergy': 20.0}
EnergyLaserMaxRange,3.0
EnergyLaserMaxUIRange,40.0
EnergyLaserColNum,3
EnergyLaser_MultiHitCount,5
EnergyLaser_CustomAttackRate,"[1.0, 1.1, 1.2]"
ParryBullet_BasicData,{'MinUseEnergy': 15.0}
ParryBullet_ChargeInfo:Time,"[0.0, 0.0, 0.9, 2.0]"
ParryBullet_ChargeInfo:EnergyCost,"[15.0, 15.0, 15.0, 15.0]"
ParryBullet_ChargeInfo:OverheatTime,6.0
ParryBullet_ChargeInfo:ParryRate,"[1.0, 1.0, 1.25, 1.5]"
ParryBullet_ChargeInfo:AttackRate,"[1.0, 1.0, 1.2, 1.8]"
ParryBulletColExtendTime,0.1
ParryHitEffectWaitTime,0.2
ParryHitMotSpeedRate,2.0
ParryBulletRange,7.0
ParryBullet_CustomAttackRate,"[1.0, 1.1, 1.2]"
EnergyGrenadeBullet_BasicData,{'MinUseEnergy': 20.0}
EnergyGrenadeBullet_ScatterList,"[{'x': 2.0, 'y': -22.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -2.0, 'y': -22.0, 'pad1': 0.0, 'pad2': 0.0}]"
EnergyGrenadeBullet_SpreadRange,8.0
EnergyGrenadeBullet_MaxRange,15.0
EnergyGrenadeBullet_SpreadRandomY,3.0
EnergyGrenadeBullet_CustomAttackRate,"[1.0, 1.1, 1.2]"
WeakPointSnipeBullet_ChargeInfo:Time,"[0.0, 0.45, 1.0, 1.7]"
WeakPointSnipeBullet_ChargeInfo:EnergyCost,"[0.0, 15.0, 15.0, 15.0]"
WeakPointSnipeBullet_ChargeInfo:OverheatTime,-1.0
WeakPointSnipeBullet_ChargeInfo:AttackRate,"[1.0, 1.3, 1.6, 2.1]"
WeakPointSnipeBullet_MaxRange,42.0
WeakPointSnipeBullet_MultiHitCount,5
WeakPointSnipeBullet_MultiHitTimer,0.02
WeakPointSnipe_CustomAttackRate,"[1.0, 1.1, 1.2]"
WeakPointSnipeBullet_MaxBulletNum,3
WeakPointSnipeBullet_AddBulletTime,23.0
WeakPointSnipeBullet_ReserveTimerRate,1.0
RyuugekiChargeTimer,1.5
RyuugekiColExtendTime,0.1
Ryuugeki_Range,6.5
Ryuugeki_Inner_Range,2.0
