Param,Value
AimAdjustParam,"{'InterpolateSpeed': 5.0, 'FadeInSpeed': 2.0, 'FadeOutSpeed': 1.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 0.8, 'ShoulderRate': 0.5, 'Spine2Rate': 0.6, 'Spine1Rate': 0.4, 'Spine0Rate': 0.2, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': -5.0, 'ConstMoveDegY': 0.0, 'LimitY': 65.0, 'LimitUpX': 30.0, 'LimitDownX': 33.0}"
RenkiReduce,"{'ReduceTime': 5.0, 'ReduceValue': 0.05, 'ReserveRate': 1.0}"
RenkiCost:KijinSlash1,0.1
RenkiCost:KijinSlash2,0.15
RenkiCost:KijinSlash3,0.25
RenkiCost:KijinSlashRound,0.2
RenkiCost:KijinSlashFront,0.2
RenkiCost:KijinJumpSlash1,0.15
RenkiCost:KijinJumpSlash2,0.2
RenkiCost:KijinJumpSlash3,0.2
RenkiCost:SlidingKijinSlash,0.2
RenkiCost:KijinStub,0.1
RenkiAutoRecoverIai,"{'RecoverTime': 15.0, 'RecoverSpdTime': 15.0}"
AuraTime,"{'WhiteTime': 195.0, 'YellowTime': 135.0, 'RedTime': 45.0}"
AuraAtkRate,"{'WhiteAtkRate': 1.025, 'YellowAtkRate': 1.05, 'RedAtkRate': 1.1}"
AuraStopTime,5.0
AuraReduceReserveRate,1.0
MikiriSuccessAttackRate,1.3
MikiriSuccessHATime,1.0
RedMikiriReduceAura,8.0
RedMikiriRecoverAura,4.0
KabutowariShellNum,7
KabutowariShellDelayTimeFirst,0.4
KabutowariShellDelayTimeContinue,0.05
KabutowariShellDelayTimeLast,0.05
KabutowariConsumeAuraTime,0.25
IsKabutowariConsumeAura,True
IaiMikiriSuccessHATime,2.0
IaiMikiriPartsBreakRate,1.3
IaiShellDelayTime,0.5
IaiCameraResetTime,0.35
IaiCameraResetCurve,OutQuart
IaiCameraPitchDeg,3.0
KijinChargePressTime,0.6
KijinChargeTime,"[0.0, 0.8, 1.6, 2.9]"
KijinChargeRenkiAddSpeed,"[0.1, 0.1, 0.1, 0.1]"
KijinChargeRenkiResumeSpeed,"[0.3, 0.3, 0.3, 0.3]"
KijinChargeSpeedRateFromKijin1,1.0
KijinChargeSpeedRateFromKijin2,1.3
KijinChargeSpeedRateFromKijin3,1.0
KijinChargeSlashNoRenkiAttackRate,0.5
KijinChargeSlashHyperArmorDamageRate,0.3
MoveSlashMinHorizontalInputDeg,60.0
MoveSlashMaxHorizontalInputDeg,135.0
JumpKijinSlashParamWhite,"{'JumpVelocity': {'x': 0.0, 'y': 5.0, 'z': 1.5, 'pad': 0.0}, 'Gravity': 13.5, 'GravityRate': 1.15}"
JumpKijinSlashParamYellow,"{'JumpVelocity': {'x': 0.0, 'y': 5.0, 'z': 1.5, 'pad': 0.0}, 'Gravity': 13.5, 'GravityRate': 1.15}"
JumpKijinSlashParamRed,"{'JumpVelocity': {'x': 0.0, 'y': 5.0, 'z': 2.0, 'pad': 0.0}, 'Gravity': 13.5, 'GravityRate': 1.15}"
WeakPointBreakFirstDelayTime,0.3
WeaskPointBreakContinueDelayTime,0.0
RedKijinSlashStartHATime,0.5
RedSlashRoundAuraRecover,"{'Recover1': 10.0, 'Recover2': 5.0, 'Recover3': 3.0, 'RecoverMin': 0.0}"
RedIaiKijinAuraRecover,"{'Recover1': 10.0, 'Recover2': 0.0, 'Recover3': 0.0, 'RecoverMin': 0.0}"
RenkiReleaseShellNumMax,12
RenkiReleaseShellIntervalTime,0.035
RenkiReleaseAuraConsumeTime,0.15
RenkiReleaseShellOffsetX,0.5
RenkiReleaseShellOffsetY,"{'x': 0.2, 'y': 0.6, 'pad1': 0.0, 'pad2': 0.0}"
RenkiReleaseShellotZ,100.0
RenkiReleaseShellOffsetRotZ,15.0
RenkiReleaseAuraNum,1
DismountMikiriSuccessHATime,1.0
