Param,Value
InsectActionID,"{'ActionID': 'GameDesign/Player/ActionData/Wp10/Action/Wp10Insect_ActionID.user', 'ExportGuid': '1b9d2270-9160-4d66-baf9-f1c595c378a5'}"
InsectMCB,Motion/Player/WeaponGimmick/Wp10/Wp10Gimmick_mcb.user
ExtractTimerRed,90.0
ExtractTimerWhite,120.0
ExtractTimerOrange,150.0
ExtractTimerTripple,90.0
AimAttackAddTrippleTime,30.0
WhiteWalkMotSpeed,1.2
OrangeDefRate,1.05
OrangeFlinchFreeLve,2
RedWhiteAtkRate,1.1
OrangeWhiteDefRate,1.1
TrippleAtkRate,1.15
Green2Rate,1.5
Green3Rate,1.8
ExtractReduceReserveRate,1.0
SelfJumpLeverDegFront,45.0
SelfJumpLeverDegBack,155.0
SelfJumpStaminaRecoverSpeedRate,0.5
SelfJumpParamNormal,"{'Front': {'Step': {'JumpVelocity': {'x': 0.0, 'y': 3.0, 'z': 1.5, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}, 'Jump': {'JumpVelocity': {'x': 0.0, 'y': 6.2, 'z': 2.5, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 0.8}}, 'Back': {'Step': {'JumpVelocity': {'x': 0.0, 'y': 2.5, 'z': -1.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 0.7}, 'Jump': {'JumpVelocity': {'x': 0.0, 'y': 5.0, 'z': -5.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 0.9}}, 'Left': {'Step': {'JumpVelocity': {'x': 1.5, 'y': 3.0, 'z': 0.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}, 'Jump': {'JumpVelocity': {'x': 2.5, 'y': 6.2, 'z': 0.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 0.8}}, 'Right': {'Step': {'JumpVelocity': {'x': -1.5, 'y': 3.0, 'z': 0.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}, 'Jump': {'JumpVelocity': {'x': -2.5, 'y': 6.2, 'z': 0.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 0.8}}}"
