Param,Value
GunnerCommonParam,GameDesign/Player/ActionData/Wp11/GlobalParam/Wp11GunnerCommonParam.user
ChargeTimeLv2,1.0
ChargeTimeLv3,2.0
ChargeTimeLv4,3.0
KyokushaChargeTimeLv2,0.8
KyokushaChargeTimeLv3,1.5
KyokushaChargeTimeLv4,2.0
IdleChargeSpeedRate,1.5
ShottingStaminaRecoverSpeedRate,0.3
IdleStaminaRecoverSpeedRate,2.0
Normal_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}]"
NormalLv2_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 0.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
NormalLv3_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 1.0, 'y': -1.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -1.2, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
NormalLv4_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 1.0, 'y': -1.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -1.2, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
NormalHoming_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 5.0, 'y': -5.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -5.0, 'y': -5.0, 'pad1': 0.0, 'pad2': 0.0}]"
QuickShot_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}]"
QuickShotHoming_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}]"
Gosha_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaLv2_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaLv3_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaLv4_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaHoming_ScatterList,"[{'x': 2.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 24.0, 'y': 2.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -2.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaRapid_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaRapidLv2_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaRapidLv3_ScatterList,"[{'x': 1.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 1.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -1.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaRapidLv4_ScatterList,"[{'x': 1.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 6.0, 'y': -0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 1.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -1.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -6.0, 'y': 0.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': -1.0, 'pad1': 0.0, 'pad2': 0.0}]"
GoshaRapidHoming_ScatterList,"[{'x': 2.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 24.0, 'y': 2.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -2.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -12.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': -24.0, 'y': -2.0, 'pad1': 0.0, 'pad2': 0.0}]"
Jump_ScatterList,"[{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}, {'x': 3.0, 'y': 3.2, 'pad1': 0.0, 'pad2': 0.0}, {'x': -3.0, 'y': 2.8, 'pad1': 0.0, 'pad2': 0.0}]"
