Param,Value
AimAdjustParam,"{'InterpolateSpeed': 5.0, 'FadeInSpeed': 1.0, 'FadeOutSpeed': 1.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 1.0, 'ShoulderRate': 0.8, 'Spine2Rate': 0.6, 'Spine1Rate': 0.4, 'Spine0Rate': 0.2, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': 0.0, 'ConstMoveDegY': 0.0, 'LimitY': 65.0, 'LimitUpX': 30.0, 'LimitDownX': 33.0}"
ChargeUpperHoldTime,0.5
ChargeTimeLv2,1.1
ChargeTimeLv3,2.0
ChargeAimSubMotionBlendRateMoveSpeed_FullBodyOff,1.0
AimCharge_WorldBlendParam,"{'JointData': [{'JointHash': {'Hash': 1951860438}, 'BlendRate': 0.35}, {'JointHash': {'Hash': 1091167843}, 'BlendRate': 0.21}, {'JointHash': {'Hash': 3992101857}, 'BlendRate': 0.17}, {'JointHash': {'Hash': 1549972489}, 'BlendRate': 0.1}], 'FadeOutSpeed': 1.0}"
BuffAttackRate,1.07
BuffStunRate,1.1
MaxSpinCount,6
STRUCT__Attack1SpinCount__Min,0.0
STRUCT__Attack1SpinCount__Max,1.0
STRUCT__Attack2SpinCount__Min,2.0
STRUCT__Attack2SpinCount__Max,3.0
STRUCT__FinishSpinCount__Min,4.0
STRUCT__FinishSpinCount__Max,6.0
JumpChargeJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.5, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
ChargeJumpJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 6.0, 'z': 3.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
SlidingSwingJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 6.0, 'z': 4.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
SlidingSlashJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 5.0, 'z': 0.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 0.9}"
ClimbSlashJump,"{'JumpVelocity': {'x': 0.0, 'y': 5.0, 'z': 0.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
SlidingParam,"{'MaxTransRate': 2.8, 'MinTransRate': 1.2, 'Time': 3.0, 'TurnSpeed': 30.0}"
SlidingTurnSpeed,70.0
SlidingMaxDeg,100.0
SlidingJudgeTime,0.2
SlidingSlashMotSpeedLv1,0.95
SlidingSlashMotSpeedLv2,1.125
SlidingSlashMotSpeedLv3,1.3
SlidingSlashInertialFriction,75.0
SlidingSlashInertialKeepTime,0.0
SuperChargeTimeLv2,0.7
SuperChargeTimeLv3,1.5
SuperChargeAttackRate,"[1.0, 1.0]"
SuperChargeMoveRate,1.0
StepUpWallDashSlashMaxDeg,30.0
HitStopCurve,"{'Keys': [{'value': 0.0, 'Time': 0.0, 'CurveType': 0, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}, {'value': 0.0, 'Time': 0.313720703125, 'CurveType': 0, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}, {'value': 1.0, 'Time': 0.392578125, 'CurveType': 1, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}, {'value': 1.0, 'Time': 1.5, 'CurveType': 1, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}], 'MinValue': 0.0, 'MaxValue': 1.0, 'MinTime': 0.0, 'MaxTime': 1000.0, 'LoopCount': 0, 'LoopWrapNo': 2}"
SuccessHitStopCurve,"{'Keys': [{'value': 0.0, 'Time': 0.0, 'CurveType': 0, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}, {'value': 0.0, 'Time': 0.4853515625, 'CurveType': 1, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}, {'value': 1.0, 'Time': 0.58349609375, 'CurveType': 0, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}, {'value': 1.0, 'Time': 1.5, 'CurveType': 0, 'InNormalX': 0.0, 'InNormalY': 0.0, 'OutNormalX': 0.0, 'OutNormalY': 0.0}], 'MinValue': 0.0, 'MaxValue': 1.0, 'MinTime': 0.0, 'MaxTime': 1000.0, 'LoopCount': 0, 'LoopWrapNo': 2}"
