RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate,PressLevel,IsSensorCollision,IsArrowFlipCollision,Parts,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat
Em1159_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),5.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0.0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,True,False,False,False,True,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,前足ジャブ攻撃,jab,前足ジャブ攻撃,|,0,,0,|,R_Arm3|L_Arm3,R_ThumbH0|L_ThumbH0,Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}",,,,,,,,,,,,,,,,,,
1,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),5.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0.0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,True,False,False,False,True,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,ジャンプ攻撃,jump,ジャンプ攻撃,||,1,,0,||,Spine0|R_Arm3|L_Arm3,|R_ThumbH0|L_ThumbH0,Sphere|Capsule|Capsule,"{'x': 0.0, 'y': -0.3, 'z': 0.5, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}",,,,,,,,,,,,,,,,,,
2,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),5.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0.0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,TARGET_ONLY(1),False,False,False,False,False,True,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,前足強攻撃,strong,前足強攻撃,||,2,,0,||,Spine0|R_Arm3|L_Arm3,|R_ThumbH0|L_ThumbH0,Sphere|Capsule|Capsule,"{'x': 0.0, 'y': -0.3, 'z': 0.5, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}",,,,,,,,,,,,,,,,,,
3,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,5.0,0.0,NORMAL(0),5.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0.0,0.0,SLEEP(1974656256),False,60.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,FORCE_DODGE_STAMINA_0(-793425920),0.0,[],1.0,1b2b704a-374e-460a-951e-1ffaaea7bd8f,0.0,DEFAULT(0),False,False,False,False,False,True,False,False,False,False,False,True,25.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,睡眠針攻撃,sleep,睡眠針攻撃,,3,,0,,Tail4,Tail8,Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.25, 'z': -0.1}, 'radius': 0.25}",,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生き血啜り,sip,生き血啜り,,4,,0,,Jaw,Jaw,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.2}",EM1159_BITE(9),1.5,0.5,0.0,0.0,1.0,1.0,,,,,,,,,,,
5,ZAKO_FORCE_DOWN(-861934720),CAPTURE_NET(-956543104),FRONT(0),0.0,0.0,0.0,NORMAL(0),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0.0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,捕食攻撃,PREY,捕食攻撃,||,2,,0,||,Spine0|R_Arm3|L_Arm3,|R_ThumbH0|L_ThumbH0,Sphere|Capsule|Capsule,"{'x': 0.0, 'y': -0.3, 'z': 0.5, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.1}, 'radius': 0.15}",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em1159_00_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭_押し,Push_Head,Zako,,0,,0,head_push,Neck0,Hip,Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': -0.25}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.4}",,,,,,,,ENEMY_ZAKO(7),,,,,,,,,,
