RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em0163_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SMASH(21),NONE(1996289920),FRONT(0),0.0,70.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,45.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,突き刺し攻撃(左),PIERCING_L,槍：突き刺し,||,0,,0,||,L_Multi0_Leg13|L_Multi0_Leg15|L_Multi0_Leg17,L_Multi0_Leg14|L_Multi0_Leg17|L_Multi0_Leg_CH_end,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.5, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.0, 'z': 10.300004}, 'radius': 1.1}",,,,,,,,,,,,
1,SMASH(21),NONE(1996289920),FRONT(0),0.0,70.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,45.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,突き刺し攻撃(右),PIERCING_R,槍：突き刺し,||,1,,0,||,R_Multi0_Leg13|R_Multi0_Leg15|R_Multi0_Leg17,R_Multi0_Leg15|R_Multi0_Leg17|R_Multi0_Leg_CH_end,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.5, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.0, 'z': 10.3}, 'radius': 1.1}",,,,,,,,,,,,
2,NORMAL(0),NORMAL_COMBO_ACCEPT(22046),FRONT(0),0.0,20.0,0.0,NORMAL(0),20.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.7,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,ガード崩し攻撃３,GUARD_BREAK_3,剣：ガード崩し攻撃（弱）,|||,8,,0,|||,L_Multi1_Leg11|L_Multi1_Leg13|L_Multi1_Leg15|L_Multi1_Leg17,L_Multi1_Leg12|L_Multi1_Leg15|L_Multi1_Leg17|L_Multi1_Leg_CH_end,Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.20000002, 'z': 5.2999983}, 'radius': 1.0}",,,,,,,,,,,,
3,NORMAL(0),NORMAL_COMBO_ACCEPT(22046),FRONT(0),0.0,20.0,0.0,NORMAL(0),20.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.7,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,ガード崩し攻撃１,GUARD_BREAK_1,剣：ガード崩し攻撃（弱）,|||,6,,0,|||,R_Multi1_Leg11|R_Multi1_Leg13|R_Multi1_Leg15|R_Multi1_Leg17,R_Multi1_Leg12|R_Multi1_Leg15|R_Multi1_Leg17|R_Multi1_Leg_CH_end,Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.2, 'z': 5.3}, 'radius': 1.0}",,,,,,,,,,,,
4,SMASH_MIDDLE(20),NONE(1996289920),FRONT(0),0.0,35.0,0.0,NORMAL(0),45.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,33.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.7,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,ガード崩し攻撃２,GUARD_BREAK_2,剣：ガード崩し攻撃（強）,|||||,7,,0,|||||,L_Multi0_Leg7|L_Multi0_Leg9|L_Multi0_Leg11|L_Multi0_Leg13|L_Multi0_Leg15|L_Multi0_Leg17,L_Multi0_Leg8|L_Multi0_Leg10|L_Multi0_Leg12|L_Multi0_Leg14|L_Multi0_Leg17|L_Multi0_Leg_CH_end,Capsule|Capsule|Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.5, 'z': -2.0}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.5, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.0, 'z': 5.9999976}, 'radius': 1.0}",,,,,,,,,,,,
5,SMASH_MIDDLE(20),NONE(1996289920),FRONT(0),0.0,35.0,0.0,NORMAL(0),45.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,33.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.7,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,ガード崩し攻撃４,GUARD_BREAK_4,剣：ガード崩し攻撃（強）,|||||,9,,0,|||||,R_Multi0_Leg7|R_Multi0_Leg9|R_Multi0_Leg11|R_Multi0_Leg13|R_Multi0_Leg15|R_Multi0_Leg17,R_Multi0_Leg8|R_Multi0_Leg10|R_Multi0_Leg12|R_Multi0_Leg15|R_Multi0_Leg17|R_Multi0_Leg_CH_end,Capsule|Capsule|Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.5, 'z': -2.0}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.5, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.0, 'z': 6.0}, 'radius': 1.0}",,,,,,,,,,,,
6,SLIP(22),NONE(1996289920),FRONT(0),0.0,30.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,トゲ飛ばし攻撃(左),SPIKE_THROWING_L,針：トゲ飛ばし攻撃（腕部分）,|||||,12,,0,|||||,L_Multi0_Leg7|L_Multi0_Leg9|L_Multi0_Leg11|L_Multi0_Leg13|L_Multi0_Leg15|L_Multi0_Leg17,L_Multi0_Leg8|L_Multi0_Leg10|L_Multi0_Leg12|L_Multi0_Leg14|L_Multi0_Leg17|L_Multi0_Leg_CH_end,Capsule|Capsule|Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.5, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': -0.09999999, 'z': 1.4000001}, 'end': {'x': 0.0, 'y': -0.4, 'z': 4.9999986}, 'radius': 1.5000002}",,,,,,,,,,,,
7,SLIP(22),NONE(1996289920),FRONT(0),0.0,30.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,トゲ飛ばし攻撃(右),SPIKE_THROWING_R,針：トゲ飛ばし攻撃（腕部分）,|||||,13,,0,|||||,R_Multi0_Leg7|R_Multi0_Leg9|R_Multi0_Leg11|R_Multi0_Leg13|R_Multi0_Leg15|R_Multi0_Leg17,R_Multi0_Leg8|R_Multi0_Leg10|R_Multi0_Leg12|R_Multi0_Leg15|R_Multi0_Leg17|R_Multi0_Leg_CH_end,Capsule|Capsule|Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.5, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': -0.09999999, 'z': 1.4000002}, 'end': {'x': 0.0, 'y': -0.4, 'z': 5.0}, 'radius': 1.5}",,,,,,,,,,,,
8,SLIP(22),NONE(1996289920),FRONT(0),0.0,40.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,25.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,距離詰め薙ぎ払い(左),STEP_IN_ATTACK_L,剣：距離詰め薙ぎ払い,|||||,2,,0,|||||,L_Multi0_Leg7|L_Multi0_Leg9|L_Multi0_Leg11|L_Multi0_Leg13|L_Multi0_Leg15|L_Multi0_Leg17,L_Multi0_Leg8|L_Multi0_Leg10|L_Multi0_Leg12|L_Multi0_Leg14|L_Multi0_Leg17|L_Multi0_Leg_CH_end,Capsule|Capsule|Capsule|Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.5, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.1}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.6, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.6, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.5, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.0, 'z': 5.9999976}, 'radius': 1.0}",,,,,,,,,,,,
