RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em1155_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),NONE(1996289920),FRONT(0),0.0,10.0,0.0,NORMAL(0),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,ジャブかみつき,BITE,その場かみつき（ジャブ）,,1,,0,頭,Head,Neck5,Capsule,"{'start': {'x': 0.0, 'y': -0.2, 'z': 2.5}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'radius': 1.8}",,,,,,,,,,,,
1,SLIP(22),NONE(1996289920),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,ダッシュかみつき,DASH_BITE,ダッシュかみつき,,1,,0,頭,Head,Neck5,Capsule,"{'start': {'x': 0.0, 'y': -0.2, 'z': 2.5}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'radius': 1.8}",,,,,,,,,,,,
2,NORMAL(0),NONE(1996289920),FRONT(0),0.0,5.0,0.0,NORMAL(0),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,のこぎり攻撃,SAW_ATTACK,のこぎり攻撃,|,0,,0,|,Head|Head,Neck5|,Capsule|Sphere,"{'start': {'x': -0.18, 'y': 0.008, 'z': 3.2}, 'end': {'x': -0.18, 'y': -0.6, 'z': 2.0}, 'radius': 1.8}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 2.0}",,,,,,,,,,,,
3,FORCE_KILL(8),NONE(1996289920),FRONT(0),0.0,0.0,0.0,NORMAL(0),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,TARGET_ONLY(1),False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,噛みつき(捕食確殺),BITE_DEADLY,捕食確殺,,1,,0,頭,Head,Neck5,Capsule,"{'start': {'x': 0.0, 'y': -0.2, 'z': 2.5}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'radius': 1.8}",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em1155_00_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,音反応,SoundReaction,音反応,,0,,0,,Chest,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 3.0, 'radius': 7.0}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '00000000-0000-0000-0000-000000000000'}}",,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭,head,頭,ヒット位置補正,1,,0,頭,Head,Neck5,Capsule,"{'start': {'x': 0.0, 'y': -0.2, 'z': 2.5}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'radius': 1.6}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'b30e8235-d995-4f0e-acc2-b2700eaff8aa'}}",,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胴体,body,胴体,||,2,,0,||,Neck0|Tail0|Tail4,Hip|Tail3|Tail7,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 2.2}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '1ce98fab-3d36-453b-8ea6-8d0b61f4f5b9'}}",,,,,,,,,
