RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em0157_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,噛みつき,Bite,噛みつき,||||,1,,0,||||,Head|Neck4|Head|Neck3|Neck2,Neck4||Neck4||,Capsule|Sphere|Capsule|Sphere|Sphere,"{'start': {'x': 0.0, 'y': -0.2, 'z': 1.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.0}, 'radius': 0.8}|{'x': 0.0, 'y': -0.2, 'z': 0.0, 'radius': 1.3}|{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.0}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'x': 0.0, 'y': 0.1, 'z': 0.0, 'radius': 2.2}",,,,,,,,,,,,
1,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,65.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,ラリアット,Lariat,ラリアット,||,2,,0,||,R_Hand0|R_Hand0|R_ArmL0,R_MiddleH1|R_ArmL0|R_ArmU0,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -1.1920929e-06, 'z': -2.3841858e-07}, 'end': {'x': -0.03, 'y': 0.12, 'z': 0.09}, 'radius': 0.9}|{'start': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'end': {'x': -0.2, 'y': -2.384186e-07, 'z': -0.2}, 'radius': 0.8}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.384186e-07, 'y': -3.576279e-07, 'z': 1.192093e-07}, 'radius': 0.8}",,,,,,,,,,,,
2,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),CENTER(6),0.0,15.0,0.0,ALL_RANGE(1),90.0,AUTO(-1149658496),NONE(-94023312),WATER(2),0,35.0,WATER(-884058560),False,0.0,True,0.0,35.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],2.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),L(541445376),False,False,0,NONE(0),NONE(3),,0.0,0.0,のしかかり,BodyPress,のしかかり,|||||||,5,,0,|||||||,Head|Neck3|Neck2|Neck1|Chest|Spine2|Spine2|Spine1,Head|||||Spine3||,Capsule|Sphere|Sphere|Sphere|Sphere|Capsule|Sphere|Sphere,"{'start': {'x': -0.01645452, 'y': -0.18, 'z': 0.758}, 'end': {'x': -0.1849999, 'y': -0.3999991, 'z': -0.1439928}, 'radius': 1.0}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'x': 0.0, 'y': 0.1, 'z': 0.0, 'radius': 1.8}|{'x': 0.0, 'y': 0.2, 'z': 0.0, 'radius': 2.0}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 2.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.8}|{'x': 0.0, 'y': -0.7, 'z': 0.2, 'radius': 2.3}|{'x': 0.0, 'y': -0.5, 'z': 0.0, 'radius': 2.0}",,,,,,,,,,,,
12,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),CENTER(6),0.0,24.0,0.0,ALL_RANGE(1),90.0,AUTO(-1149658496),NONE(-94023312),WATER(2),0,56.0,WATER(-884058560),False,0.0,True,0.0,35.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],4.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),L(541445376),False,False,0,NONE(0),NONE(3),,0.0,0.0,のしかかり（着地）,BodyPress,のしかかり_着地,|||||||||||||,6,,0,|||||||||||||,Head|Neck3|Neck2|Neck1|Chest|Spine2|Spine2|Spine1|R_Hand0|R_ArmL0|L_Hand0|L_ArmL0|Spine0|Spine1,Head|||||Spine3|||R_ArmL0|R_ArmU0|L_ArmL0|L_ArmU0||,Capsule|Sphere|Sphere|Sphere|Sphere|Capsule|Sphere|Sphere|Capsule|Capsule|Capsule|Capsule|Sphere|Sphere,"{'start': {'x': -0.01645452, 'y': -0.18, 'z': 0.758}, 'end': {'x': -0.1849999, 'y': -0.3999991, 'z': -0.1439928}, 'radius': 1.0}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'x': 0.0, 'y': 0.1, 'z': 0.0, 'radius': 1.8}|{'x': 0.0, 'y': 0.2, 'z': 0.0, 'radius': 2.0}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 2.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.8}|{'x': 0.0, 'y': -0.7, 'z': 0.2, 'radius': 2.3}|{'x': 0.0, 'y': -0.5, 'z': 0.0, 'radius': 2.0}|{'start': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'end': {'x': -0.2, 'y': -2.384186e-07, 'z': -0.2}, 'radius': 1.1}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.384186e-07, 'y': -3.576279e-07, 'z': 1.192093e-07}, 'radius': 1.2}|{'start': {'x': 0.19999981, 'y': -0.20000005, 'z': 0.0}, 'end': {'x': 0.20000029, 'y': -1.1920929e-07, 'z': -0.20000008}, 'radius': 1.1}|{'start': {'x': 0.10000014, 'y': 2.3841858e-07, 'z': 0.0}, 'end': {'x': -2.3841858e-07, 'y': -2.9802322e-07, 'z': 5.9604645e-08}, 'radius': 1.2}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 3.0}|{'x': 0.0, 'y': 0.0, 'z': 1.0, 'radius': 3.0}",,,,,,,,,,,,
3,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,20.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,[検証]波起こし,Wave,[検証]波起こし,,7,,0,口_Copied_Copied,Head,Head,Capsule,"{'start': {'x': -0.01645452, 'y': -0.18, 'z': 0.758}, 'end': {'x': -0.1849999, 'y': -0.3999991, 'z': -0.1439928}, 'radius': 1.0}",,,,,,,,,,,,
4,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),CENTER(6),0.0,40.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,ヒレ攻撃向き替え,FilletAttack,ヒレ攻撃向き替え,||,8,,0,||,R_Hand0|R_Hand0|R_ArmL0,R_MiddleH1|R_ArmL0|R_ArmU0,Capsule|Capsule|Capsule,"{'start': {'x': 1.192093e-07, 'y': -1.192093e-06, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'end': {'x': -0.2, 'y': -2.384186e-07, 'z': -0.2}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.384186e-07, 'y': -3.576279e-07, 'z': 1.192093e-07}, 'radius': 0.9}",,,,,,,,,,,,
5,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),BACK(1),0.0,40.0,0.0,ALL_RANGE(1),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,尻尾叩きつけ,TailAttack,尻尾叩きつけ,||||||||||,10,,0,||||||||||,Hip|Tail_00|Tail_00|Tail_01|Tail_05|Tail_03|Tail_01|R_AddW1_7_2|R_AddW1_7_1|L_AddW1_7_2|L_AddW1_7_1,||Tail_01|Tail_02|||||||,Sphere|Sphere|Capsule|Capsule|Sphere|Sphere|Sphere|Sphere|Sphere|Sphere|Sphere,"{'x': 0.0, 'y': -0.3, 'z': 0.0, 'radius': 1.8}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'x': 0.0, 'y': 0.0, 'z': 1.5, 'radius': 2.5}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 2.5}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 2.2}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.6}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.6}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}",,,,,,,,,,,,
6,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,65.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,ラリアット（頭部）,Lariat_head,ラリアットの頭判定（鍔迫り合い用）,|,4,,0,|,Neck3|Neck2,|,Sphere|Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'x': 0.0, 'y': 0.1, 'z': 0.0, 'radius': 2.2}",,,,,,,,,,,,
7,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,波起こしフック（右）,WavePunch_R,波起こしフック,||,11,,0,||,R_Hand0|R_Hand0|R_ArmL0,R_MiddleH1|R_ArmL0|R_ArmU0,Capsule|Capsule|Capsule,"{'start': {'x': -0.25, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.2}|{'start': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'end': {'x': -0.2, 'y': -2.384186e-07, 'z': -0.2}, 'radius': 1.1}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.384186e-07, 'y': -3.576279e-07, 'z': 1.192093e-07}, 'radius': 1.2}",,,,,,,,,,,,
