RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate
Em0009_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,噛み付,Bite,噛みつき,||,0,,0,||,Head|Neck3|Neck1,Head|Neck2|Neck0,Capsule|Capsule|Capsule,"{'start': {'x': -5.960464e-08, 'y': 0.1, 'z': 0.8}, 'end': {'x': -1.490116e-08, 'y': 0.1, 'z': 0.1}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': -0.15, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.2}, 'end': {'x': -2.980232e-08, 'y': 0.2, 'z': 0.4}, 'radius': 0.8000001}",,,,,,,,,,,,,,,,,,
1,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,ついばみ,Picking,連続ついばみ_頭,,1,,0,顔_Copied,Head,Head,Capsule,"{'start': {'x': -5.960464e-08, 'y': 0.1, 'z': 0.8}, 'end': {'x': -1.490116e-08, 'y': 0.1, 'z': 0.1}, 'radius': 1.6}",,,,,,,,,,,,,,,,,,
2,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,10.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,ついばみ_体,Picking_Body,連続ついばみ（長）_体,||||||||,2,,0,||||||||,Spine0|L_LegU0|L_LegL0|L_Foot0|L_Foot2|R_LegU0|R_LegL0|R_Foot0|R_Foot2,Tail0|L_LegU1|L_LegL0|L_Foot1|L_MiddleF2|R_LegU1|R_LegL0|R_Foot1|R_MiddleF2,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.3, 'z': 0.2}, 'end': {'x': 0.0, 'y': -1.3, 'z': -0.1999999}, 'radius': 2.4}|{'start': {'x': 0.0, 'y': -0.9000001, 'z': 0.1}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': 0.1, 'y': -0.2, 'z': 0.1}, 'end': {'x': 0.1, 'y': -1.0, 'z': 0.0}, 'radius': 0.64}|{'start': {'x': 0.1000001, 'y': -0.2, 'z': 5.960464e-08}, 'end': {'x': 0.0, 'y': -5.960464e-08, 'z': 0.09999961}, 'radius': 0.8000001}|{'start': {'x': 0.0, 'y': 1.490116e-08, 'z': 1.490116e-08}, 'end': {'x': 0.0, 'y': -0.7, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': -0.9000003, 'z': 0.1}, 'end': {'x': 2.384186e-07, 'y': -0.1000001, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': -0.1000001, 'y': -0.1999999, 'z': 0.1000001}, 'end': {'x': -0.09999967, 'y': -0.9999999, 'z': 5.960464e-08}, 'radius': 0.64}|{'start': {'x': -0.1000004, 'y': -0.2000002, 'z': 1.192093e-07}, 'end': {'x': 0.0, 'y': -1.192093e-07, 'z': 0.09999967}, 'radius': 0.8000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.7, 'z': 0.0}, 'radius': 0.9000001}",,,,,,,,,,,,,,,,,,
4,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,POISON(1990626048),False,100.0,False,20.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,ついばみ_毒,Picking_Poison,連続ついばみ毒_頭,,3,,0,顔_Copied,Head,Head,Capsule,"{'start': {'x': -5.960464e-08, 'y': 0.1, 'z': 0.8}, 'end': {'x': -1.490116e-08, 'y': 0.1, 'z': 0.1}, 'radius': 1.6}",,,,,,,,,,,,,,,,,,
5,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),ROLLING_L(9),0.0,35.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,回転尻尾攻撃（右）,TailSpin_Right,回転尻尾攻撃（右）,||||,4,,0,||||,Tail1|Tail2|Tail4|Tail5|Tail6,Tail2|Tail4|Tail5|Tail6|Tail7,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.6}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.2, 'z': -0.4}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.2}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.87}",,,,,,,,,,,,,,,,,,
6,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),ROLLING_R(8),0.0,35.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,回転尻尾攻撃（左）,TailSpin_Left,回転尻尾攻撃（左）,||||,4,,0,||||,Tail1|Tail2|Tail4|Tail5|Tail6,Tail2|Tail4|Tail5|Tail6|Tail7,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.6}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.2, 'z': -0.4}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.2}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.87}",,,,,,,,,,,,,,,,,,
7,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,エリマキ走り,ErimakiRun,エリマキ走り,||||||||,5,,0,||||||||,Spine0|L_LegU0|L_LegL0|L_Foot0|L_Foot2|R_LegU0|R_LegL0|R_Foot0|R_Foot2,Tail0|L_LegU1|L_LegL0|L_Foot1|L_MiddleF2|R_LegU1|R_LegL0|R_Foot1|R_MiddleF2,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.3, 'z': 0.2}, 'end': {'x': 0.0, 'y': -1.3, 'z': -0.1999999}, 'radius': 2.4}|{'start': {'x': 0.0, 'y': -0.9000001, 'z': 0.1}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': 0.1, 'y': -0.2, 'z': 0.1}, 'end': {'x': 0.1, 'y': -1.0, 'z': 0.0}, 'radius': 0.64}|{'start': {'x': 0.1, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.09999964}, 'radius': 0.8000001}|{'start': {'x': 0.0, 'y': 1.490116e-08, 'z': 1.490116e-08}, 'end': {'x': 0.0, 'y': -0.7, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': -0.9000003, 'z': 0.1}, 'end': {'x': 2.384186e-07, 'y': -0.1000001, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': -0.1000001, 'y': -0.1999999, 'z': 0.1000001}, 'end': {'x': -0.09999967, 'y': -0.9999999, 'z': 5.960464e-08}, 'radius': 0.64}|{'start': {'x': -0.1000001, 'y': -0.2, 'z': 5.960464e-08}, 'end': {'x': 0.0, 'y': -2.980232e-08, 'z': 0.09999961}, 'radius': 0.8000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.7, 'z': 0.0}, 'radius': 0.9000001}",,,,,,,,,,,,,,,,,,
8,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,40.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,毒吐き走き_体,GeroMove_Body,毒吐き走り_体,||||||||,14,,0,||||||||,Spine0|L_LegU0|L_LegL0|L_Foot0|L_Foot2|R_LegU0|R_LegL0|R_Foot0|R_Foot2,Tail0|L_LegU1|L_LegL0|L_Foot1|L_MiddleF2|R_LegU1|R_LegL0|R_Foot1|R_MiddleF2,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.3, 'z': 0.2}, 'end': {'x': 0.0, 'y': -1.3, 'z': -0.1999999}, 'radius': 2.4}|{'start': {'x': 0.0, 'y': -0.9000001, 'z': 0.1}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': 0.1, 'y': -0.2, 'z': 0.1}, 'end': {'x': 0.1, 'y': -1.0, 'z': 0.0}, 'radius': 0.64}|{'start': {'x': 0.1, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.09999964}, 'radius': 0.8000001}|{'start': {'x': 0.0, 'y': 1.490116e-08, 'z': 1.490116e-08}, 'end': {'x': 0.0, 'y': -0.7, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': -0.9000003, 'z': 0.1}, 'end': {'x': 2.384186e-07, 'y': -0.1000001, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': -0.1000001, 'y': -0.1999999, 'z': 0.1000001}, 'end': {'x': -0.09999967, 'y': -0.9999999, 'z': 5.960464e-08}, 'radius': 0.64}|{'start': {'x': -0.1000001, 'y': -0.2, 'z': 5.960464e-08}, 'end': {'x': 0.0, 'y': -2.980232e-08, 'z': 0.09999961}, 'radius': 0.8000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.7, 'z': 0.0}, 'radius': 0.9000001}",,,,,,,,,,,,,,,,,,
9,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),ROLLING_L(9),0.0,35.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,尻尾振り攻撃（右）,BackTailAttack_Right,尻尾振り攻撃(右）,||||,8,,0,||||,Tail1|Tail2|Tail4|Tail5|Tail6,Tail2|Tail4|Tail5|Tail6|Tail7,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.6}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.2, 'z': -0.4}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.2}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.87}",,,,,,,,,,,,,,,,,,
