RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em1162_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SLIP(22),NONE(1996289920),FRONT(0),0.0,15.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,True,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,トゲ攻撃,NeedleAttack,トゲ攻撃,|,0,,0,|,Head|Chest,|Neck0,Sphere|Capsule,"{'x': 0.0, 'y': 0.4, 'z': -0.2, 'radius': 1.1000001}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.29999992}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em1162_00_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,音反応,SoundReaction,音反応,,0,,0,,Hip,,Sphere,"{'x': 0.0, 'y': 0.3, 'z': 0.3, 'radius': 2.1000001}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '00000000-0000-0000-0000-000000000000'}}",,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭,HEAD,頭,,1,,0,頭,Head,Head,Sphere,"{'x': 0.0, 'y': 0.10000002, 'z': -0.10000002, 'radius': 0.9000001}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '50b2ffb7-59e5-40b0-85dd-2219494980cc'}}",,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胴体,BODY,胴体,,2,,0,胴体,Neck0,Tail0,Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.70000005}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '5ff0aa74-7690-48db-bbe1-72a787a120cf'}}",,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,押しアタリ_全身,PUSH_SP,ZakoPush,|,4,,0,|,Head|Neck0,Head|Tail0,Sphere|Capsule,"{'x': 0.0, 'y': 0.1, 'z': -0.10000002, 'radius': 0.70000005}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}",,,,ENEMY_ZAKO(7),,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,押しアタリ_敵同士,PUSH_BOSS,ZakoPush,,3,,0,,Chest,Hip,Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': 0.1}, 'end': {'x': 0.0, 'y': -0.10000002, 'z': -0.1}, 'radius': 0.70000005}",,,,ENEMY_ZAKO(7),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
