RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,IsDisableAnimalAttack,IsExFieldWpAttackFinal,ExEmote03AttackType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,CollabDamageUIType,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,CaptureDamage,ShellReflectionFlag,SlingerCatchDamageType,SpecialType
Wp00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,81.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,TAIKEN_00(23373),False,縦斬り,,縦斬り,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
1,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,106.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.1,1.1,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,TAIKEN_01(20862),False,縦斬りLv1,,縦斬りLv1,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,135.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.2,1.2,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,TAIKEN_02(425),False,縦斬りLv2,,縦斬りLv2,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
3,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,168.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.2,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.3,1.3,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,8ffe770e-3553-4593-8710-b1ca9a4e7aa4,True,WP00_VSLASH(5746),False,TAIKEN_03(4721),False,縦斬りLv3,,縦斬りLv3,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
4,NORMAL(0),CAPTURE_NET(-956543104),RIGHT(5),0.0,42.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,CHARGE_00(11511),False,薙ぎ払い,,薙ぎ払い,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
5,NORMAL(0),CAPTURE_NET(-956543104),UP(2),0.0,38.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,TAIKEN_00(23373),False,斬り上げ,,斬り上げ,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
6,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,83.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.3,1.3,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,TAIKEN_01(20862),False,強縦斬り,,強縦斬り,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
7,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,111.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.3,1.3,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,9876a442-1fda-43fe-85b7-7ceaf9ea48a2,True,NONE(7350),False,TAIKEN_02(425),False,強縦斬りLv1,,強縦斬りLv1,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
8,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,144.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.4,1.4,True,True,,False,False,1.0,False,False,False,NONE(0),SLASH(9),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,8ffe770e-3553-4593-8710-b1ca9a4e7aa4,True,NONE(7350),False,TAIKEN_03(4721),False,強縦斬りLv2,,強縦斬りLv2,|||,0,,0,|||,root|||,Root|||,ContinuousCapsule|ContinuousSphere|ContinuousSphere|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 2.844665e-07, 'y': 0.0, 'z': 2.3}, 'radius': 0.65}|{'x': 0.0, 'y': 0.0, 'z': 2.0, 'radius': 0.55}|{'x': 0.0, 'y': 0.0, 'z': 1.1, 'radius': 0.7}|{'x': 0.0, 'y': 0.0, 'z': 2.5, 'radius': 0.5}",,,,
