RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,IsDisableAnimalAttack,IsExFieldWpAttackFinal,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,CaptureDamage,ShellReflectionFlag,SlingerCatchDamageType,SpecialType
Wp08_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,45.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,10.0,0.0,0.0,NORMAL(0),False,f6e34cb0-a536-415a-add0-ab44353c039a,True,False,L_SLASH_01(5849),False,斧：縦斬り,,斧：縦斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
1,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,23.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,7.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,L_SLASH_00(6566),False,斧：横斬り,,斧：横斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,31.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,7.0,0.0,0.0,NORMAL(0),False,f6e34cb0-a536-415a-add0-ab44353c039a,False,False,L_SLASH_01(5849),False,斧：斬り上げ,,斧：斬り上げ,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
4,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,True,5,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,15.0,0.0,0.0,NORMAL(0),False,7804ce88-336c-47aa-8a32-0485bb4b774c,False,False,GUNSLASH(24422),False,斧：ゲージ回収斬り1,,斧：ゲージ回収斬り1,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
5,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,41.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,True,5,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,20.0,0.0,0.0,NORMAL(0),False,209b5bd6-ee6f-4978-9d44-4fda19009b0d,False,False,L_SLASH_02(15055),False,斧：ゲージ回収斬り2,,斧：ゲージ回収斬り2,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
6,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,42.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,12.0,0.0,0.0,NORMAL(0),False,f6e34cb0-a536-415a-add0-ab44353c039a,False,False,L_SLASH_01(5849),False,斧：下がり斬り,,斧：下がり斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
7,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,21.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,3.0,0.0,0.0,GESTURE(7),False,a93abdc3-d8f7-4c2a-97bd-4c1e2f24100e,False,False,S_SLASH_00(10757),False,斧：振り回し・右,,斧：振り回し・右,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
8,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,23.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,3.0,0.0,0.0,GESTURE(7),False,a93abdc3-d8f7-4c2a-97bd-4c1e2f24100e,False,False,S_SLASH_00(10757),False,斧：振り回し・左,,斧：振り回し・左,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
9,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,True,5,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,8.0,0.0,0.0,NORMAL(0),False,7804ce88-336c-47aa-8a32-0485bb4b774c,True,False,S_SLASH_01(31722),False,斧：強化斬り1,,斧：斧強化斬り1,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.7}",,,,
