RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams
Wp12Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,True,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,False,BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,INVALID(-361180672),False,近接殴り,,近接殴り(未使用),,2,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.8}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}"
1,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,20.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SHOT(3),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,True,False,1,False,1,,False,False,True,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,False,SHOT(19),,0.0,0.0,-1,2.0,0.0,0.0,NONE(55),False,604c9c34-a671-4034-b57e-9adf11300f02,False,True,INVALID(-361180672),False,鍔迫り合い小攻撃,,鍔迫り合い小攻撃,,0,,0,,VFX_Fire,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 1.0, 'radius': 1.0}"
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SHOT(3),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,True,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,False,SHOT(19),,0.0,0.0,-1,30.0,0.0,0.0,NONE(55),False,7224f329-0f90-4ebc-96ec-60a05f69a145,False,True,INVALID(-361180672),False,鍔迫り合いフィニッシュ,,鍔迫り合いフィニッシュ,,0,,0,,VFX_Fire,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 1.0, 'radius': 1.0}"
3,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,30.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,55.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,True,False,False,10,True,False,1.0,1.0,True,True,,False,False,1.0,False,BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,00000000-0000-0000-0000-000000000000,False,True,STOMP_02(-1421223296),False,ジャンプ攻撃,,ジャンプ攻撃,,2,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.8}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}"
4,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,30.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,55.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,True,False,False,10,True,False,1.0,1.0,True,True,,False,False,1.0,False,BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,00000000-0000-0000-0000-000000000000,False,True,STOMP_02(-1421223296),False,スライディング攻撃,,スライディング攻撃,,2,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.8}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}"
5,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SHOT(3),1.0,0.0,0.0,WP(2),NULL,15.0,15.0,False,False,False,1.0,1.0,1.0,1.0,False,False,True,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,True,,False,False,1.0,False,SHOT(19),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,604c9c34-a671-4034-b57e-9adf11300f02,False,True,INVALID(-361180672),False,EM乗り射撃,,EM乗り通常射撃,,1,,0,,root,,Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 1.2}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}"
6,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,160.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SHOT(3),1.0,0.0,0.0,FINISH(3),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,True,,False,False,1.0,False,SHOT(19),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,c56ee4bf-6d4a-40bb-b95a-d581aac55bb1,False,True,INVALID(-361180672),False,EM乗りフィニッシュ射撃,,EM乗りフィニッシュ射撃,,1,,0,,root,,Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 1.2}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}"
7,NORMAL(0),NONE(1996289920),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SHOT(3),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,True,False,1,False,1,,False,False,True,False,False,10,True,False,1.0,1.0,True,True,,False,False,1.0,False,SHOT(19),,0.0,0.0,-1,3.0,0.0,0.0,NONE(55),False,604c9c34-a671-4034-b57e-9adf11300f02,False,True,INVALID(-361180672),False,鍔迫り合い中攻撃,,,,0,,0,,VFX_Fire,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 1.0, 'radius': 1.0}"
100,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SHOT(3),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,False,,False,False,1.0,False,SHOT(19),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,604c9c34-a671-4034-b57e-9adf11300f02,True,False,INVALID(-361180672),False,,,,,1,,0,,root,,Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 1.2}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}"
