RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,IsDisableAnimalAttack,IsExFieldWpAttackFinal,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,CaptureDamage,ShellReflectionFlag,SlingerCatchDamageType,SpecialType
Wp09_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,18.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,-70.0,0.0,-1,3.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,W_SLASH_02(19631),False,剣：突進斬り,,剣：突進斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
1,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,-70.0,0.0,-1,3.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,S_SLASH_01(31722),False,剣：けん制斬り,,剣：けん制斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,18.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,170.0,0.0,-1,3.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,W_SLASH_02(19631),False,剣：斬り上げ,,剣：斬り上げ,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
3,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,90.0,0.0,-1,9.0,0.0,0.0,NORMAL(0),False,f01c8a4a-adb6-46f6-a5bf-4e28888359af,False,False,CHARGE_00(11511),False,剣：回転斬り,,剣：回転斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
4,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,24.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,90.0,0.0,-1,3.0,0.0,0.0,NORMAL(0),False,4bc84efc-01a0-4b2d-8d37-98d50339f840,False,False,S_SLASH_02(31010),False,剣：移動斬り,,剣：移動斬り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
5,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,-170.0,0.0,-1,3.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,S_SLASH_01(31722),False,剣：溜め失敗斬り上げ,,剣：溜め失敗斬り上げ,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
6,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,True,5,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,-170.0,0.0,-1,18.0,0.0,0.0,NORMAL(0),False,4bc84efc-01a0-4b2d-8d37-98d50339f840,False,False,W_SLASH_01(24146),False,剣：溜め斬り上げ1,,剣：溜め斬り上げ1,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
7,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,16.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,True,5,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,SLASH(9),,90.0,0.0,-1,9.0,0.0,0.0,NORMAL(0),False,4bc84efc-01a0-4b2d-8d37-98d50339f840,False,False,W_SLASH_02(19631),False,剣：溜め斬り上げ2,,剣：溜め斬り上げ2,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.9}, 'radius': 0.55}",,,,
8,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,48.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,True,,False,False,1.0,False,False,False,SLASH(9),,0.0,0.0,-1,9.0,0.0,0.0,NORMAL(0),False,f01c8a4a-adb6-46f6-a5bf-4e28888359af,True,True,SLASH_02(-1266751488),False,剣：高圧斬り,,剣：高圧斬り,,5,,0,,,,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.23}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.1}, 'radius': 1.0}",,,,
